Month_Year,Department,Skill,Competency_Level,Skill_Requirement,Skill_Gap
Jul-2027,Statistical Analysis Department,Sampling Techniques,81,85,4
Aug-2027,Statistical Analysis Department,Sampling Techniques,80,85,5
Sep-2027,Statistical Analysis Department,Sampling Techniques,80,85,5
Oct-2027,Statistical Analysis Department,Sampling Techniques,80,85,5
Nov-2027,Statistical Analysis Department,Sampling Techniques,81,85,4
Dec-2027,Statistical Analysis Department,Sampling Techniques,82,85,3
Jan-2026,Statistical Analysis Department,Data Quality,35,68,33
Feb-2026,Statistical Analysis Department,Data Quality,35,68,33
Mar-2026,Statistical Analysis Department,Data Quality,35,68,33
Apr-2026,Statistical Analysis Department,Data Quality,36,68,32
May-2026,Statistical Analysis Department,Data Quality,38,68,30
Jun-2026,Statistical Analysis Department,Data Quality,39,69,30
Jul-2026,Statistical Analysis Department,Data Quality,40,69,29
Aug-2026,Statistical Analysis Department,Data Quality,42,69,27
Sep-2026,Statistical Analysis Department,Data Quality,44,70,26
Oct-2026,Statistical Analysis Department,Data Quality,45,70,25
Nov-2026,Statistical Analysis Department,Data Quality,46,70,24
Dec-2026,Statistical Analysis Department,Data Quality,47,70,23
Jan-2027,Statistical Analysis Department,Data Quality,47,71,24
Feb-2027,Statistical Analysis Department,Data Quality,48,71,23
Mar-2027,Statistical Analysis Department,Data Quality,49,71,22
Apr-2027,Statistical Analysis Department,Data Quality,50,72,22
May-2027,Statistical Analysis Department,Data Quality,50,73,23
Jun-2027,Statistical Analysis Department,Data Quality,50,73,23
Jul-2027,Statistical Analysis Department,Data Quality,51,74,23
Aug-2027,Statistical Analysis Department,Data Quality,52,74,22
Sep-2027,Statistical Analysis Department,Data Quality,53,74,21
Oct-2027,Statistical Analysis Department,Data Quality,54,75,21
Nov-2027,Statistical Analysis Department,Data Quality,55,75,20
Dec-2027,Statistical Analysis Department,Data Quality,56,75,19
Jan-2026,Statistical Analysis Department,National Accounts,44,75,31
Feb-2026,Statistical Analysis Department,National Accounts,48,75,27
Mar-2026,Statistical Analysis Department,National Accounts,53,75,22
Apr-2026,Statistical Analysis Department,National Accounts,56,75,19
May-2026,Statistical Analysis Department,National Accounts,59,76,17
Jun-2026,Statistical Analysis Department,National Accounts,63,78,15
Jul-2026,Statistical Analysis Department,National Accounts,68,80,12
Aug-2026,Statistical Analysis Department,National Accounts,72,82,10
Sep-2026,Statistical Analysis Department,National Accounts,75,83,8
Oct-2026,Statistical Analysis Department,National Accounts,80,83,3
Nov-2026,Statistical Analysis Department,National Accounts,82,84,2
Dec-2026,Statistical Analysis Department,National Accounts,84,86,2
Jan-2027,Statistical Analysis Department,National Accounts,85,87,2
Feb-2027,Statistical Analysis Department,National Accounts,85,87,2
Mar-2027,Statistical Analysis Department,National Accounts,85,87,2
Apr-2027,Statistical Analysis Department,National Accounts,85,88,3
May-2027,Statistical Analysis Department,National Accounts,85,89,4
Jun-2027,Statistical Analysis Department,National Accounts,88,90,2
Jul-2027,Statistical Analysis Department,National Accounts,89,90,1
Aug-2027,Statistical Analysis Department,National Accounts,91,90,-1
Sep-2027,Statistical Analysis Department,National Accounts,92,91,-1
Oct-2027,Statistical Analysis Department,National Accounts,93,92,-1
Nov-2027,Statistical Analysis Department,National Accounts,94,93,-1
Dec-2027,Statistical Analysis Department,National Accounts,94,94,0
Jan-2026,Statistical Analysis Department,Price Statistics,42,67,25
Feb-2026,Statistical Analysis Department,Price Statistics,42,69,27
Mar-2026,Statistical Analysis Department,Price Statistics,43,72,29
Apr-2026,Statistical Analysis Department,Price Statistics,44,75,31
May-2026,Statistical Analysis Department,Price Statistics,44,78,34
Jun-2026,Statistical Analysis Department,Price Statistics,45,81,36
Jul-2026,Statistical Analysis Department,Price Statistics,46,85,39
Aug-2026,Statistical Analysis Department,Price Statistics,47,87,40
Sep-2026,Statistical Analysis Department,Price Statistics,48,89,41
Oct-2026,Statistical Analysis Department,Price Statistics,49,92,43
Nov-2026,Statistical Analysis Department,Price Statistics,49,93,44
Dec-2026,Statistical Analysis Department,Price Statistics,50,93,43
Jan-2027,Statistical Analysis Department,Price Statistics,51,93,42
Feb-2027,Statistical Analysis Department,Price Statistics,52,93,41
Mar-2027,Statistical Analysis Department,Price Statistics,52,94,42
Apr-2027,Statistical Analysis Department,Price Statistics,54,94,40
May-2027,Statistical Analysis Department,Price Statistics,54,94,40
Jun-2027,Statistical Analysis Department,Price Statistics,55,95,40
Jul-2027,Statistical Analysis Department,Price Statistics,57,96,39
Aug-2027,Statistical Analysis Department,Price Statistics,57,96,39
Sep-2027,Statistical Analysis Department,Price Statistics,58,96,38
Oct-2027,Statistical Analysis Department,Price Statistics,59,96,37
Nov-2027,Statistical Analysis Department,Price Statistics,59,96,37
Dec-2027,Statistical Analysis Department,Price Statistics,59,96,37
Jan-2026,Statistical Analysis Department,Labour Statistics,71,78,7
Feb-2026,Statistical Analysis Department,Labour Statistics,70,79,9
Mar-2026,Statistical Analysis Department,Labour Statistics,71,80,9
Apr-2026,Statistical Analysis Department,Labour Statistics,72,80,8
May-2026,Statistical Analysis Department,Labour Statistics,72,80,8
Jun-2026,Statistical Analysis Department,Labour Statistics,72,81,9
Jul-2026,Statistical Analysis Department,Labour Statistics,71,81,10
Aug-2026,Statistical Analysis Department,Labour Statistics,73,82,9
Sep-2026,Statistical Analysis Department,Labour Statistics,74,82,8
Oct-2026,Statistical Analysis Department,Labour Statistics,74,82,8
Nov-2026,Statistical Analysis Department,Labour Statistics,76,82,6
Dec-2026,Statistical Analysis Department,Labour Statistics,77,82,5
Jan-2027,Statistical Analysis Department,Labour Statistics,78,82,4
Feb-2027,Statistical Analysis Department,Labour Statistics,78,83,5
Mar-2027,Statistical Analysis Department,Labour Statistics,78,84,6
Apr-2027,Statistical Analysis Department,Labour Statistics,78,84,6
May-2027,Statistical Analysis Department,Labour Statistics,77,84,7
Jun-2027,Statistical Analysis Department,Labour Statistics,78,85,7
Jul-2027,Statistical Analysis Department,Labour Statistics,78,85,7
Aug-2027,Statistical Analysis Department,Labour Statistics,78,86,8
Sep-2027,Statistical Analysis Department,Labour Statistics,80,87,7
Oct-2027,Statistical Analysis Department,Labour Statistics,82,88,6
Nov-2027,Statistical Analysis Department,Labour Statistics,81,88,7
Dec-2027,Statistical Analysis Department,Labour Statistics,81,88,7
Jan-2026,Statistical Analysis Department,Agricultural Statistics,39,68,29
Feb-2026,Statistical Analysis Department,Agricultural Statistics,39,69,30
Mar-2026,Statistical Analysis Department,Agricultural Statistics,40,69,29
Apr-2026,Statistical Analysis Department,Agricultural Statistics,41,69,28
May-2026,Statistical Analysis Department,Agricultural Statistics,43,70,27
Jun-2026,Statistical Analysis Department,Agricultural Statistics,43,70,27
Jul-2026,Statistical Analysis Department,Agricultural Statistics,45,70,25
Aug-2026,Statistical Analysis Department,Agricultural Statistics,46,70,24
Sep-2026,Statistical Analysis Department,Agricultural Statistics,47,70,23
Oct-2026,Statistical Analysis Department,Agricultural Statistics,49,71,22
Nov-2026,Statistical Analysis Department,Agricultural Statistics,50,71,21
Dec-2026,Statistical Analysis Department,Agricultural Statistics,51,71,20
Jan-2027,Statistical Analysis Department,Agricultural Statistics,52,72,20
Feb-2027,Statistical Analysis Department,Agricultural Statistics,53,73,20
Mar-2027,Statistical Analysis Department,Agricultural Statistics,53,74,21
Apr-2027,Statistical Analysis Department,Agricultural Statistics,54,75,21
May-2027,Statistical Analysis Department,Agricultural Statistics,55,76,21
Jun-2027,Statistical Analysis Department,Agricultural Statistics,56,76,20
Jul-2027,Statistical Analysis Department,Agricultural Statistics,57,77,20
Aug-2027,Statistical Analysis Department,Agricultural Statistics,58,78,20
Sep-2027,Statistical Analysis Department,Agricultural Statistics,59,78,19
Oct-2027,Statistical Analysis Department,Agricultural Statistics,60,79,19
Nov-2027,Statistical Analysis Department,Agricultural Statistics,61,80,19
Dec-2027,Statistical Analysis Department,Agricultural Statistics,62,81,19
Jan-2026,Statistical Analysis Department,SDG Indicators,49,72,23
Feb-2026,Statistical Analysis Department,SDG Indicators,54,72,18
Mar-2026,Statistical Analysis Department,SDG Indicators,58,73,15
Apr-2026,Statistical Analysis Department,SDG Indicators,62,75,13
May-2026,Statistical Analysis Department,SDG Indicators,66,77,11
Jun-2026,Statistical Analysis Department,SDG Indicators,71,79,8
Jul-2026,Statistical Analysis Department,SDG Indicators,75,81,6
Aug-2026,Statistical Analysis Department,SDG Indicators,79,81,2
Sep-2026,Statistical Analysis Department,SDG Indicators,79,82,3
Oct-2026,Statistical Analysis Department,SDG Indicators,80,83,3
Nov-2026,Statistical Analysis Department,SDG Indicators,80,84,4
Dec-2026,Statistical Analysis Department,SDG Indicators,83,85,2
Jan-2027,Statistical Analysis Department,SDG Indicators,85,85,0
Feb-2027,Statistical Analysis Department,SDG Indicators,87,86,-1
Mar-2027,Statistical Analysis Department,SDG Indicators,88,88,0
Apr-2027,Statistical Analysis Department,SDG Indicators,88,88,0
May-2027,Statistical Analysis Department,SDG Indicators,89,89,0
Jun-2027,Statistical Analysis Department,SDG Indicators,90,89,-1
Jul-2027,Statistical Analysis Department,SDG Indicators,91,91,0
Aug-2027,Statistical Analysis Department,SDG Indicators,93,92,-1
Sep-2027,Statistical Analysis Department,SDG Indicators,94,94,0
Oct-2027,Statistical Analysis Department,SDG Indicators,95,96,1
Nov-2027,Statistical Analysis Department,SDG Indicators,97,97,0
Dec-2027,Statistical Analysis Department,SDG Indicators,99,98,-1
Jan-2026,Statistical Analysis Department,Metadata Standards,43,64,21
Feb-2026,Statistical Analysis Department,Metadata Standards,44,67,23
Mar-2026,Statistical Analysis Department,Metadata Standards,45,70,25
Apr-2026,Statistical Analysis Department,Metadata Standards,45,73,28
May-2026,Statistical Analysis Department,Metadata Standards,46,76,30
Jun-2026,Statistical Analysis Department,Metadata Standards,48,79,31
Jul-2026,Statistical Analysis Department,Metadata Standards,49,81,32
Aug-2026,Statistical Analysis Department,Metadata Standards,51,85,34
Sep-2026,Statistical Analysis Department,Metadata Standards,52,89,37
Oct-2026,Statistical Analysis Department,Metadata Standards,54,91,37
Nov-2026,Statistical Analysis Department,Metadata Standards,55,95,40
Dec-2026,Statistical Analysis Department,Metadata Standards,57,96,39
Jan-2027,Statistical Analysis Department,Metadata Standards,59,96,37
Feb-2027,Statistical Analysis Department,Metadata Standards,60,96,36
Mar-2027,Statistical Analysis Department,Metadata Standards,62,96,34
Apr-2027,Statistical Analysis Department,Metadata Standards,63,96,33
May-2027,Statistical Analysis Department,Metadata Standards,65,96,31
Jun-2027,Statistical Analysis Department,Metadata Standards,66,97,31
Jul-2027,Statistical Analysis Department,Metadata Standards,67,97,30
Aug-2027,Statistical Analysis Department,Metadata Standards,67,98,31
Sep-2027,Statistical Analysis Department,Metadata Standards,67,99,32
Oct-2027,Statistical Analysis Department,Metadata Standards,69,99,30
Nov-2027,Statistical Analysis Department,Metadata Standards,70,99,29
Dec-2027,Statistical Analysis Department,Metadata Standards,72,99,27
Jan-2026,Data & Analytics Department,Python,47,73,26
Feb-2026,Data & Analytics Department,Python,51,75,24
Mar-2026,Data & Analytics Department,Python,55,77,22
Apr-2026,Data & Analytics Department,Python,59,77,18
May-2026,Data & Analytics Department,Python,64,77,13
Jun-2026,Data & Analytics Department,Python,67,78,11
Jul-2026,Data & Analytics Department,Python,71,78,7
Aug-2026,Data & Analytics Department,Python,74,78,4
Sep-2026,Data & Analytics Department,Python,78,79,1
Oct-2026,Data & Analytics Department,Python,79,80,1
Nov-2026,Data & Analytics Department,Python,79,82,3
Dec-2026,Data & Analytics Department,Python,80,84,4
Jan-2027,Data & Analytics Department,Python,84,85,1
Feb-2027,Data & Analytics Department,Python,85,86,1
Mar-2027,Data & Analytics Department,Python,86,86,0
Apr-2027,Data & Analytics Department,Python,87,88,1
May-2027,Data & Analytics Department,Python,87,89,2
Jun-2027,Data & Analytics Department,Python,87,89,2
Jul-2027,Data & Analytics Department,Python,88,91,3
Aug-2027,Data & Analytics Department,Python,88,92,4
Sep-2027,Data & Analytics Department,Python,93,94,1
Oct-2027,Data & Analytics Department,Python,94,96,2
Nov-2027,Data & Analytics Department,Python,96,97,1
Dec-2027,Data & Analytics Department,Python,98,98,0
Jan-2026,Data & Analytics Department,R Programming,49,66,17
Feb-2026,Data & Analytics Department,R Programming,50,69,19
Mar-2026,Data & Analytics Department,R Programming,51,71,20
Apr-2026,Data & Analytics Department,R Programming,52,75,23
May-2026,Data & Analytics Department,R Programming,53,79,26
Jun-2026,Data & Analytics Department,R Programming,55,82,27
Jul-2026,Data & Analytics Department,R Programming,55,86,31
Aug-2026,Data & Analytics Department,R Programming,56,89,33
Sep-2026,Data & Analytics Department,R Programming,58,92,34
Oct-2026,Data & Analytics Department,R Programming,59,92,33
Nov-2026,Data & Analytics Department,R Programming,60,93,33
Dec-2026,Data & Analytics Department,R Programming,60,93,33
Jan-2027,Data & Analytics Department,R Programming,61,93,32
Feb-2027,Data & Analytics Department,R Programming,62,94,32
Mar-2027,Data & Analytics Department,R Programming,64,94,30
Apr-2027,Data & Analytics Department,R Programming,64,94,30
May-2027,Data & Analytics Department,R Programming,66,94,28
Jun-2027,Data & Analytics Department,R Programming,67,95,28
Jul-2027,Data & Analytics Department,R Programming,68,96,28
Aug-2027,Data & Analytics Department,R Programming,69,97,28
Sep-2027,Data & Analytics Department,R Programming,71,97,26
Oct-2027,Data & Analytics Department,R Programming,72,97,25
Nov-2027,Data & Analytics Department,R Programming,73,97,24
Dec-2027,Data & Analytics Department,R Programming,74,97,23
Jan-2026,Data & Analytics Department,SQL,75,75,0
Feb-2026,Data & Analytics Department,SQL,77,76,-1
Mar-2026,Data & Analytics Department,SQL,76,76,0
Apr-2026,Data & Analytics Department,SQL,76,76,0
May-2026,Data & Analytics Department,SQL,76,76,0
Jun-2026,Data & Analytics Department,SQL,76,76,0
Jul-2026,Data & Analytics Department,SQL,78,76,-2
Aug-2026,Data & Analytics Department,SQL,78,76,-2
Sep-2026,Data & Analytics Department,SQL,77,77,0
Oct-2026,Data & Analytics Department,SQL,79,77,-2
Nov-2026,Data & Analytics Department,SQL,81,78,-3
Dec-2026,Data & Analytics Department,SQL,80,78,-2
Jan-2027,Data & Analytics Department,SQL,81,79,-2
Feb-2027,Data & Analytics Department,SQL,82,80,-2
Mar-2027,Data & Analytics Department,SQL,83,81,-2
Apr-2027,Data & Analytics Department,SQL,83,81,-2
May-2027,Data & Analytics Department,SQL,83,82,-1
Jun-2027,Data & Analytics Department,SQL,82,82,0
Jul-2027,Data & Analytics Department,SQL,83,83,0
Aug-2027,Data & Analytics Department,SQL,82,83,1
Sep-2027,Data & Analytics Department,SQL,82,83,1
Oct-2027,Data & Analytics Department,SQL,83,84,1
Nov-2027,Data & Analytics Department,SQL,82,84,2
Dec-2027,Data & Analytics Department,SQL,81,85,4
Jan-2026,Data & Analytics Department,Data Visualization,38,74,36
Feb-2026,Data & Analytics Department,Data Visualization,40,74,34
Mar-2026,Data & Analytics Department,Data Visualization,41,74,33
Apr-2026,Data & Analytics Department,Data Visualization,42,75,33
May-2026,Data & Analytics Department,Data Visualization,43,75,32
Jun-2026,Data & Analytics Department,Data Visualization,45,76,31
Jul-2026,Data & Analytics Department,Data Visualization,45,77,32
Aug-2026,Data & Analytics Department,Data Visualization,45,77,32
Sep-2026,Data & Analytics Department,Data Visualization,46,77,31
Oct-2026,Data & Analytics Department,Data Visualization,46,77,31
Nov-2026,Data & Analytics Department,Data Visualization,47,77,30
Dec-2026,Data & Analytics Department,Data Visualization,49,77,28
Jan-2027,Data & Analytics Department,Data Visualization,50,77,27
Feb-2027,Data & Analytics Department,Data Visualization,51,77,26
Mar-2027,Data & Analytics Department,Data Visualization,53,77,24
Apr-2027,Data & Analytics Department,Data Visualization,54,77,23
May-2027,Data & Analytics Department,Data Visualization,55,77,22
Jun-2027,Data & Analytics Department,Data Visualization,56,78,22
Jul-2027,Data & Analytics Department,Data Visualization,57,78,21
Aug-2027,Data & Analytics Department,Data Visualization,58,78,20
Sep-2027,Data & Analytics Department,Data Visualization,60,79,19
Oct-2027,Data & Analytics Department,Data Visualization,61,79,18
Nov-2027,Data & Analytics Department,Data Visualization,61,80,19
Dec-2027,Data & Analytics Department,Data Visualization,62,81,19
Jan-2026,Data & Analytics Department,Machine Learning,37,64,27
Feb-2026,Data & Analytics Department,Machine Learning,39,67,28
Mar-2026,Data & Analytics Department,Machine Learning,40,71,31
Apr-2026,Data & Analytics Department,Machine Learning,42,75,33
May-2026,Data & Analytics Department,Machine Learning,45,78,33
Jun-2026,Data & Analytics Department,Machine Learning,48,82,34
Jul-2026,Data & Analytics Department,Machine Learning,51,86,35
Aug-2026,Data & Analytics Department,Machine Learning,54,91,37
Sep-2026,Data & Analytics Department,Machine Learning,55,94,39
Oct-2026,Data & Analytics Department,Machine Learning,58,98,40
Nov-2026,Data & Analytics Department,Machine Learning,60,98,38
Dec-2026,Data & Analytics Department,Machine Learning,62,99,37
Jan-2027,Data & Analytics Department,Machine Learning,64,99,35
Feb-2027,Data & Analytics Department,Machine Learning,67,99,32
Mar-2027,Data & Analytics Department,Machine Learning,69,100,31
Apr-2027,Data & Analytics Department,Machine Learning,72,100,28
May-2027,Data & Analytics Department,Machine Learning,74,100,26
Jun-2027,Data & Analytics Department,Machine Learning,76,100,24
Jul-2027,Data & Analytics Department,Machine Learning,78,100,22
Aug-2027,Data & Analytics Department,Machine Learning,81,100,19
Sep-2027,Data & Analytics Department,Machine Learning,84,100,16
Oct-2027,Data & Analytics Department,Machine Learning,85,100,15
Nov-2027,Data & Analytics Department,Machine Learning,87,100,13
Dec-2027,Data & Analytics Department,Machine Learning,88,100,12
Jan-2026,Data & Analytics Department,Artificial Intelligence,35,63,28
Feb-2026,Data & Analytics Department,Artificial Intelligence,37,68,31
Mar-2026,Data & Analytics Department,Artificial Intelligence,40,71,31
Apr-2026,Data & Analytics Department,Artificial Intelligence,42,75,33
May-2026,Data & Analytics Department,Artificial Intelligence,44,79,35
Jun-2026,Data & Analytics Department,Artificial Intelligence,47,84,37
Jul-2026,Data & Analytics Department,Artificial Intelligence,48,87,39
Aug-2026,Data & Analytics Department,Artificial Intelligence,50,91,41
Sep-2026,Data & Analytics Department,Artificial Intelligence,52,94,42
Oct-2026,Data & Analytics Department,Artificial Intelligence,55,97,42
Nov-2026,Data & Analytics Department,Artificial Intelligence,57,97,40
Dec-2026,Data & Analytics Department,Artificial Intelligence,58,97,39
Jan-2027,Data & Analytics Department,Artificial Intelligence,60,97,37
Feb-2027,Data & Analytics Department,Artificial Intelligence,63,97,34
Mar-2027,Data & Analytics Department,Artificial Intelligence,66,97,31
Apr-2027,Data & Analytics Department,Artificial Intelligence,68,97,29
May-2027,Data & Analytics Department,Artificial Intelligence,70,97,27
Jun-2027,Data & Analytics Department,Artificial Intelligence,72,97,25
Jul-2027,Data & Analytics Department,Artificial Intelligence,74,97,23
Aug-2027,Data & Analytics Department,Artificial Intelligence,77,97,20
Sep-2027,Data & Analytics Department,Artificial Intelligence,79,97,18
Oct-2027,Data & Analytics Department,Artificial Intelligence,81,98,17
Nov-2027,Data & Analytics Department,Artificial Intelligence,83,98,15
Dec-2027,Data & Analytics Department,Artificial Intelligence,86,98,12
Jan-2026,Data & Analytics Department,Big Data Analytics,42,66,24
Feb-2026,Data & Analytics Department,Big Data Analytics,45,70,25
Mar-2026,Data & Analytics Department,Big Data Analytics,48,73,25
Apr-2026,Data & Analytics Department,Big Data Analytics,50,77,27
May-2026,Data & Analytics Department,Big Data Analytics,51,82,31
Jun-2026,Data & Analytics Department,Big Data Analytics,52,87,35
Jul-2026,Data & Analytics Department,Big Data Analytics,53,91,38
Aug-2026,Data & Analytics Department,Big Data Analytics,56,95,39
Sep-2026,Data & Analytics Department,Big Data Analytics,57,95,38
Oct-2026,Data & Analytics Department,Big Data Analytics,59,96,37
Nov-2026,Data & Analytics Department,Big Data Analytics,60,97,37
Dec-2026,Data & Analytics Department,Big Data Analytics,63,98,35
Jan-2027,Data & Analytics Department,Big Data Analytics,66,99,33
Feb-2027,Data & Analytics Department,Big Data Analytics,67,100,33
Mar-2027,Data & Analytics Department,Big Data Analytics,69,100,31
Apr-2027,Data & Analytics Department,Big Data Analytics,70,100,30
May-2027,Data & Analytics Department,Big Data Analytics,71,100,29
Jun-2027,Data & Analytics Department,Big Data Analytics,73,100,27
Jul-2027,Data & Analytics Department,Big Data Analytics,75,100,25
Aug-2027,Data & Analytics Department,Big Data Analytics,77,100,23
Sep-2027,Data & Analytics Department,Big Data Analytics,79,100,21
Oct-2027,Data & Analytics Department,Big Data Analytics,82,100,18
Nov-2027,Data & Analytics Department,Big Data Analytics,84,100,16
Dec-2027,Data & Analytics Department,Big Data Analytics,87,100,13
Jan-2026,Data & Analytics Department,Statistical Modelling,37,69,32
Feb-2026,Data & Analytics Department,Statistical Modelling,38,70,32
Mar-2026,Data & Analytics Department,Statistical Modelling,39,70,31
Apr-2026,Data & Analytics Department,Statistical Modelling,40,71,31
May-2026,Data & Analytics Department,Statistical Modelling,40,71,31
Jun-2026,Data & Analytics Department,Statistical Modelling,41,72,31
Jul-2026,Data & Analytics Department,Statistical Modelling,43,72,29
Aug-2026,Data & Analytics Department,Statistical Modelling,43,72,29
Sep-2026,Data & Analytics Department,Statistical Modelling,44,73,29
Oct-2026,Data & Analytics Department,Statistical Modelling,45,74,29
Nov-2026,Data & Analytics Department,Statistical Modelling,46,75,29
Dec-2026,Data & Analytics Department,Statistical Modelling,47,75,28
Jan-2027,Data & Analytics Department,Statistical Modelling,48,75,27
Feb-2027,Data & Analytics Department,Statistical Modelling,49,75,26
Mar-2027,Data & Analytics Department,Statistical Modelling,49,75,26
Apr-2027,Data & Analytics Department,Statistical Modelling,50,76,26
May-2027,Data & Analytics Department,Statistical Modelling,51,77,26
Jun-2027,Data & Analytics Department,Statistical Modelling,52,78,26
Jul-2027,Data & Analytics Department,Statistical Modelling,53,78,25
Aug-2027,Data & Analytics Department,Statistical Modelling,54,78,24
Sep-2027,Data & Analytics Department,Statistical Modelling,54,79,25
Oct-2027,Data & Analytics Department,Statistical Modelling,54,80,26
Nov-2027,Data & Analytics Department,Statistical Modelling,55,80,25
Dec-2027,Data & Analytics Department,Statistical Modelling,56,81,25
Jan-2026,Data & Analytics Department,Data Engineering,40,63,23
Feb-2026,Data & Analytics Department,Data Engineering,42,67,25
Mar-2026,Data & Analytics Department,Data Engineering,44,70,26
Apr-2026,Data & Analytics Department,Data Engineering,45,74,29
May-2026,Data & Analytics Department,Data Engineering,48,77,29
Jun-2026,Data & Analytics Department,Data Engineering,50,81,31
Jul-2026,Data & Analytics Department,Data Engineering,51,85,34
Aug-2026,Data & Analytics Department,Data Engineering,53,90,37
Sep-2026,Data & Analytics Department,Data Engineering,55,94,39
Oct-2026,Data & Analytics Department,Data Engineering,57,98,41
Nov-2026,Data & Analytics Department,Data Engineering,59,98,39
Dec-2026,Data & Analytics Department,Data Engineering,62,99,37
Jan-2027,Data & Analytics Department,Data Engineering,64,99,35
Feb-2027,Data & Analytics Department,Data Engineering,65,99,34
Mar-2027,Data & Analytics Department,Data Engineering,68,99,31
Apr-2027,Data & Analytics Department,Data Engineering,71,99,28
May-2027,Data & Analytics Department,Data Engineering,72,99,27
Jun-2027,Data & Analytics Department,Data Engineering,74,100,26
Jul-2027,Data & Analytics Department,Data Engineering,76,100,24
Aug-2027,Data & Analytics Department,Data Engineering,78,100,22
Sep-2027,Data & Analytics Department,Data Engineering,80,100,20
Oct-2027,Data & Analytics Department,Data Engineering,81,100,19
